dtpricon;regiao;loctudet;metastaticos;estadios;fetar;obito1ano;obito;pop
2001;nordeste;reto;nao metastaticos;II;<60;0;3;32
2001;nordeste;reto;nao metastaticos;II;>=60;3;4;28
2001;nordeste;reto;nao metastaticos;III;<60;0;1;17
2001;nordeste;reto;nao metastaticos;III;>=60;0;2;15
2001;nordeste;reto;metastaticos;IV;<60;2;2;10
2001;nordeste;reto;metastaticos;IV;>=60;1;2;18
2001;norte;colon;nao metastaticos;II;<60;0;2;5
2001;norte;colon;nao metastaticos;III;<60;0;1;4
2001;norte;colon;nao metastaticos;III;>=60;0;0;2
2001;norte;colon;metastaticos;IV;<60;1;1;1
2001;norte;reto;nao metastaticos;I;<60;0;1;1
2001;norte;reto;nao metastaticos;I;>=60;0;0;1
2001;norte;reto;nao metastaticos;II;<60;0;0;3
2001;norte;reto;nao metastaticos;II;>=60;0;0;4
2001;norte;reto;nao metastaticos;III;<60;3;4;9
2001;norte;reto;nao metastaticos;III;>=60;0;0;2
2001;norte;reto;metastaticos;IV;<60;0;0;1
2001;norte;reto;metastaticos;IV;>=60;0;0;3
2001;sudeste;colon;nao metastaticos;I;<60;3;9;37
2001;sudeste;colon;nao metastaticos;I;>=60;6;38;68
2001;sudeste;colon;nao metastaticos;II;<60;6;50;127
2001;sudeste;colon;nao metastaticos;II;>=60;32;91;142
2001;sudeste;colon;nao metastaticos;III;<60;14;68;138
2001;sudeste;colon;nao metastaticos;III;>=60;30;96;146
2001;sudeste;colon;metastaticos;IV;<60;54;89;109
2001;sudeste;colon;metastaticos;IV;>=60;68;116;136
2001;sudeste;juncao retossigmoide;nao metastaticos;I;<60;0;2;6
2001;sudeste;juncao retossigmoide;nao metastaticos;I;>=60;0;4;8
2001;sudeste;juncao retossigmoide;nao metastaticos;II;<60;0;0;7
2001;sudeste;juncao retossigmoide;nao metastaticos;II;>=60;3;18;24
2001;sudeste;juncao retossigmoide;nao metastaticos;III;<60;1;4;11
2001;sudeste;juncao retossigmoide;nao metastaticos;III;>=60;1;9;15
2001;sudeste;juncao retossigmoide;metastaticos;IV;<60;2;7;8
2001;sudeste;juncao retossigmoide;metastaticos;IV;>=60;5;9;12
2001;sudeste;reto;nao metastaticos;I;<60;3;13;46
2001;sudeste;reto;nao metastaticos;I;>=60;5;37;69
2001;sudeste;reto;nao metastaticos;II;<60;6;51;109
2001;sudeste;reto;nao metastaticos;II;>=60;15;81;129
2001;sudeste;reto;nao metastaticos;III;<60;11;50;87
2001;sudeste;reto;nao metastaticos;III;>=60;15;74;101
2001;sudeste;reto;metastaticos;IV;<60;45;89;97
2001;sudeste;reto;metastaticos;IV;>=60;51;83;96
2001;sul;colon;nao metastaticos;I;<60;0;0;1
2001;sul;colon;nao metastaticos;I;>=60;0;0;2
2001;sul;colon;nao metastaticos;II;<60;0;1;10
2001;sul;colon;nao metastaticos;II;>=60;1;2;11
2001;sul;colon;nao metastaticos;III;<60;3;6;17
2001;sul;colon;nao metastaticos;III;>=60;1;1;8
2001;sul;colon;metastaticos;IV;<60;1;3;13
2001;sul;colon;metastaticos;IV;>=60;2;3;11
2001;sul;juncao retossigmoide;nao metastaticos;II;<60;0;1;4
2001;sul;juncao retossigmoide;nao metastaticos;II;>=60;0;0;3
2001;sul;juncao retossigmoide;nao metastaticos;III;<60;0;0;4
2001;sul;juncao retossigmoide;nao metastaticos;III;>=60;0;0;5
2001;sul;juncao retossigmoide;metastaticos;IV;>=60;0;0;2
2001;sul;reto;nao metastaticos;I;<60;0;0;3
2001;sul;reto;nao metastaticos;I;>=60;0;0;2
2001;sul;reto;nao metastaticos;II;<60;0;1;14
2001;sul;reto;nao metastaticos;II;>=60;1;3;16
2001;sul;reto;nao metastaticos;III;<60;1;3;18
2001;sul;reto;nao metastaticos;III;>=60;0;0;15
2001;sul;reto;metastaticos;IV;<60;0;3;11
2001;sul;reto;metastaticos;IV;>=60;0;0;3
2002;centroeste;colon;nao metastaticos;I;<60;0;0;1
2002;centroeste;colon;nao metastaticos;II;<60;0;0;1
2002;centroeste;colon;nao metastaticos;II;>=60;0;0;1
2002;centroeste;colon;nao metastaticos;III;<60;0;0;4
2002;centroeste;colon;nao metastaticos;III;>=60;0;0;2
2002;centroeste;colon;metastaticos;IV;<60;0;0;1
2002;centroeste;colon;metastaticos;IV;>=60;1;2;4
2002;centroeste;juncao retossigmoide;nao metastaticos;III;>=60;0;0;1
2002;centroeste;reto;nao metastaticos;I;>=60;0;0;1
2002;centroeste;reto;nao metastaticos;II;>=60;0;1;1
2002;centroeste;reto;nao metastaticos;III;<60;0;0;2
2002;centroeste;reto;nao metastaticos;III;>=60;0;0;2
2002;centroeste;reto;metastaticos;IV;<60;0;0;1
2002;centroeste;reto;metastaticos;IV;>=60;0;1;2
2002;nordeste;colon;nao metastaticos;I;<60;0;0;2
2002;nordeste;colon;nao metastaticos;I;>=60;0;1;8
2002;nordeste;colon;nao metastaticos;II;<60;1;1;18
2002;nordeste;colon;nao metastaticos;II;>=60;0;0;23
2002;nordeste;colon;nao metastaticos;III;<60;1;1;25
2002;nordeste;colon;nao metastaticos;III;>=60;2;2;20
2002;nordeste;colon;metastaticos;IV;<60;2;5;17
2002;nordeste;colon;metastaticos;IV;>=60;3;6;13
2002;nordeste;juncao retossigmoide;nao metastaticos;I;<60;0;0;1
2002;nordeste;juncao retossigmoide;nao metastaticos;I;>=60;0;0;2
2002;nordeste;juncao retossigmoide;nao metastaticos;II;<60;0;1;5
2002;nordeste;juncao retossigmoide;nao metastaticos;II;>=60;0;0;2
2002;nordeste;juncao retossigmoide;nao metastaticos;III;<60;1;1;3
2002;nordeste;juncao retossigmoide;nao metastaticos;III;>=60;1;3;3
2002;nordeste;juncao retossigmoide;metastaticos;IV;<60;0;0;3
2002;nordeste;juncao retossigmoide;metastaticos;IV;>=60;1;1;2
2002;nordeste;reto;nao metastaticos;I;<60;2;2;11
2002;nordeste;reto;nao metastaticos;I;>=60;1;4;12
2002;nordeste;reto;nao metastaticos;II;<60;0;1;32
2002;nordeste;reto;nao metastaticos;II;>=60;6;10;37
2002;nordeste;reto;nao metastaticos;III;<60;0;2;24
2002;nordeste;reto;nao metastaticos;III;>=60;3;7;25
2002;nordeste;reto;metastaticos;IV;<60;5;8;12
2002;nordeste;reto;metastaticos;IV;>=60;1;4;14
2002;norte;colon;nao metastaticos;II;<60;0;0;2
2002;norte;colon;nao metastaticos;III;<60;0;2;6
2002;norte;colon;nao metastaticos;III;>=60;1;2;7
2002;norte;colon;metastaticos;IV;<60;0;0;1
2002;norte;juncao retossigmoide;nao metastaticos;II;<60;0;0;1
2002;norte;juncao retossigmoide;nao metastaticos;III;<60;1;1;2
2002;norte;reto;nao metastaticos;I;<60;0;0;2
2002;norte;reto;nao metastaticos;I;>=60;1;1;3
2002;norte;reto;nao metastaticos;II;<60;3;3;10
2002;norte;reto;nao metastaticos;II;>=60;1;1;2
2002;norte;reto;nao metastaticos;III;<60;0;1;5
2002;norte;reto;nao metastaticos;III;>=60;0;2;5
2002;norte;reto;metastaticos;IV;<60;1;1;2
2002;norte;reto;metastaticos;IV;>=60;1;1;2
2002;sudeste;colon;nao metastaticos;I;<60;4;16;55
2002;sudeste;colon;nao metastaticos;I;>=60;15;47;82
2002;sudeste;colon;nao metastaticos;II;<60;12;49;136
2002;sudeste;colon;nao metastaticos;II;>=60;30;129;203
2002;sudeste;colon;nao metastaticos;III;<60;20;76;144
2002;sudeste;colon;nao metastaticos;III;>=60;51;124;181
2002;sudeste;colon;metastaticos;IV;<60;63;118;149
2002;sudeste;colon;metastaticos;IV;>=60;89;145;173
2002;sudeste;juncao retossigmoide;nao metastaticos;I;<60;0;2;8
2002;sudeste;juncao retossigmoide;nao metastaticos;I;>=60;0;7;10
2002;sudeste;juncao retossigmoide;nao metastaticos;II;<60;1;4;13
2002;sudeste;juncao retossigmoide;nao metastaticos;II;>=60;2;11;23
2002;sudeste;juncao retossigmoide;nao metastaticos;III;<60;0;12;22
2002;sudeste;juncao retossigmoide;nao metastaticos;III;>=60;2;15;23
2002;sudeste;juncao retossigmoide;metastaticos;IV;<60;3;7;9
2002;sudeste;juncao retossigmoide;metastaticos;IV;>=60;7;9;10
2002;sudeste;reto;nao metastaticos;I;<60;4;16;51
2002;sudeste;reto;nao metastaticos;I;>=60;15;46;81
2002;sudeste;reto;nao metastaticos;II;<60;11;54;129
2002;sudeste;reto;nao metastaticos;II;>=60;31;104;150
2002;sudeste;reto;nao metastaticos;III;<60;19;77;145
2002;sudeste;reto;nao metastaticos;III;>=60;32;121;161
2002;sudeste;reto;metastaticos;IV;<60;42;81;90
2002;sudeste;reto;metastaticos;IV;>=60;49;86;101
2002;sul;colon;nao metastaticos;I;<60;0;0;7
2002;sul;colon;nao metastaticos;I;>=60;0;0;6
2002;sul;colon;nao metastaticos;II;<60;0;0;26
2002;sul;colon;nao metastaticos;II;>=60;3;4;26
2002;sul;colon;nao metastaticos;III;<60;3;5;35
2002;sul;colon;nao metastaticos;III;>=60;1;2;20
2002;sul;colon;metastaticos;IV;<60;8;15;29
2002;sul;colon;metastaticos;IV;>=60;7;14;27
2002;sul;juncao retossigmoide;nao metastaticos;I;<60;0;0;1
2002;sul;juncao retossigmoide;nao metastaticos;I;>=60;0;0;1
2002;sul;juncao retossigmoide;nao metastaticos;II;<60;1;1;4
2002;sul;juncao retossigmoide;nao metastaticos;II;>=60;2;3;9
2002;sul;juncao retossigmoide;nao metastaticos;III;<60;1;2;8
2002;sul;juncao retossigmoide;nao metastaticos;III;>=60;0;0;7
2002;sul;juncao retossigmoide;metastaticos;IV;<60;2;2;7
2002;sul;juncao retossigmoide;metastaticos;IV;>=60;1;2;2
2002;sul;reto;nao metastaticos;I;<60;0;0;4
2002;sul;reto;nao metastaticos;I;>=60;0;1;7
2002;sul;reto;nao metastaticos;II;<60;0;0;20
2002;sul;reto;nao metastaticos;II;>=60;0;3;31
2002;sul;reto;nao metastaticos;III;<60;1;5;35
2002;sul;reto;nao metastaticos;III;>=60;1;4;40
2002;sul;reto;metastaticos;IV;<60;2;3;11
2002;sul;reto;metastaticos;IV;>=60;3;7;19
2003;centroeste;colon;nao metastaticos;II;<60;0;1;2
2003;centroeste;colon;nao metastaticos;II;>=60;0;0;2
2003;centroeste;colon;nao metastaticos;III;<60;0;1;4
2003;centroeste;colon;nao metastaticos;III;>=60;1;1;6
2003;centroeste;colon;metastaticos;IV;<60;0;1;2
2003;centroeste;colon;metastaticos;IV;>=60;0;0;2
2003;centroeste;juncao retossigmoide;nao metastaticos;III;>=60;0;0;2
2003;centroeste;reto;nao metastaticos;I;<60;0;0;1
2003;centroeste;reto;nao metastaticos;I;>=60;0;0;1
2003;centroeste;reto;nao metastaticos;II;<60;1;2;4
2003;centroeste;reto;nao metastaticos;II;>=60;0;0;1
2003;centroeste;reto;nao metastaticos;III;<60;1;1;5
2003;centroeste;reto;nao metastaticos;III;>=60;0;0;3
2003;centroeste;reto;metastaticos;IV;<60;0;1;4
2003;centroeste;reto;metastaticos;IV;>=60;0;0;2
2003;nordeste;colon;nao metastaticos;I;<60;0;0;3
2003;nordeste;colon;nao metastaticos;I;>=60;1;1;1
2003;nordeste;colon;nao metastaticos;II;<60;0;0;12
2003;nordeste;colon;nao metastaticos;II;>=60;0;2;23
2003;nordeste;colon;nao metastaticos;III;<60;1;3;14
2003;nordeste;colon;nao metastaticos;III;>=60;1;1;11
2003;nordeste;colon;metastaticos;IV;<60;3;4;12
2003;nordeste;colon;metastaticos;IV;>=60;3;8;18
2003;nordeste;juncao retossigmoide;nao metastaticos;II;<60;0;1;4
2003;nordeste;juncao retossigmoide;nao metastaticos;II;>=60;0;0;5
2003;nordeste;juncao retossigmoide;nao metastaticos;III;<60;0;0;5
2003;nordeste;juncao retossigmoide;nao metastaticos;III;>=60;0;0;3
2003;nordeste;juncao retossigmoide;metastaticos;IV;<60;0;1;1
2003;nordeste;juncao retossigmoide;metastaticos;IV;>=60;2;2;2
2003;nordeste;reto;nao metastaticos;I;<60;1;2;13
2003;nordeste;reto;nao metastaticos;I;>=60;0;1;12
2003;nordeste;reto;nao metastaticos;II;<60;3;4;37
2003;nordeste;reto;nao metastaticos;II;>=60;4;6;39
2003;nordeste;reto;nao metastaticos;III;<60;5;7;30
2003;nordeste;reto;nao metastaticos;III;>=60;0;2;11
2003;nordeste;reto;metastaticos;IV;<60;2;3;14
2003;nordeste;reto;metastaticos;IV;>=60;4;6;11
2003;norte;colon;nao metastaticos;I;<60;0;0;2
2003;norte;colon;nao metastaticos;II;<60;2;2;5
2003;norte;colon;nao metastaticos;II;>=60;1;2;6
2003;norte;colon;nao metastaticos;III;<60;0;1;7
2003;norte;colon;nao metastaticos;III;>=60;0;0;3
2003;norte;colon;metastaticos;IV;<60;1;2;3
2003;norte;juncao retossigmoide;nao metastaticos;II;<60;1;1;3
2003;norte;juncao retossigmoide;nao metastaticos;II;>=60;0;0;1
2003;norte;juncao retossigmoide;metastaticos;IV;>=60;0;0;1
2003;norte;reto;nao metastaticos;I;<60;0;0;1
2003;norte;reto;nao metastaticos;I;>=60;0;0;1
2003;norte;reto;nao metastaticos;II;<60;0;1;4
2003;norte;reto;nao metastaticos;II;>=60;0;3;8
2003;norte;reto;nao metastaticos;III;<60;0;2;9
2003;norte;reto;nao metastaticos;III;>=60;0;1;4
2003;norte;reto;metastaticos;IV;<60;0;1;4
2003;norte;reto;metastaticos;IV;>=60;0;0;2
2003;sudeste;colon;nao metastaticos;I;<60;4;11;38
2003;sudeste;colon;nao metastaticos;I;>=60;9;43;73
2003;sudeste;colon;nao metastaticos;II;<60;19;65;166
2003;sudeste;colon;nao metastaticos;II;>=60;47;154;243
2003;sudeste;colon;nao metastaticos;III;<60;24;88;172
2003;sudeste;colon;nao metastaticos;III;>=60;50;133;206
2003;sudeste;colon;metastaticos;IV;<60;91;151;177
2003;sudeste;colon;metastaticos;IV;>=60;97;152;179
2003;sudeste;juncao retossigmoide;nao metastaticos;I;<60;0;3;7
2003;sudeste;juncao retossigmoide;nao metastaticos;I;>=60;2;8;13
2003;sudeste;juncao retossigmoide;nao metastaticos;II;<60;1;4;23
2003;sudeste;juncao retossigmoide;nao metastaticos;II;>=60;6;27;34
2003;sudeste;juncao retossigmoide;nao metastaticos;III;<60;3;14;27
2003;sudeste;juncao retossigmoide;nao metastaticos;III;>=60;3;14;23
2003;sudeste;juncao retossigmoide;metastaticos;IV;<60;9;13;15
2003;sudeste;juncao retossigmoide;metastaticos;IV;>=60;8;11;13
2003;sudeste;reto;nao metastaticos;I;<60;4;15;63
2003;sudeste;reto;nao metastaticos;I;>=60;8;40;74
2003;sudeste;reto;nao metastaticos;II;<60;9;55;118
2003;sudeste;reto;nao metastaticos;II;>=60;30;109;176
2003;sudeste;reto;nao metastaticos;III;<60;18;89;152
2003;sudeste;reto;nao metastaticos;III;>=60;26;107;164
2003;sudeste;reto;metastaticos;IV;<60;40;86;97
2003;sudeste;reto;metastaticos;IV;>=60;48;85;95
2003;sul;colon;nao metastaticos;I;<60;0;0;3
2003;sul;colon;nao metastaticos;I;>=60;1;3;10
2003;sul;colon;nao metastaticos;II;<60;3;10;38
2003;sul;colon;nao metastaticos;II;>=60;1;8;39
2003;sul;colon;nao metastaticos;III;<60;1;6;33
2003;sul;colon;nao metastaticos;III;>=60;2;8;42
2003;sul;colon;metastaticos;IV;<60;11;13;30
2003;sul;colon;metastaticos;IV;>=60;8;14;28
2003;sul;juncao retossigmoide;nao metastaticos;I;<60;0;1;2
2003;sul;juncao retossigmoide;nao metastaticos;I;>=60;0;1;1
2003;sul;juncao retossigmoide;nao metastaticos;II;<60;0;1;5
2003;sul;juncao retossigmoide;nao metastaticos;II;>=60;0;1;10
2003;sul;juncao retossigmoide;nao metastaticos;III;<60;1;2;6
2003;sul;juncao retossigmoide;nao metastaticos;III;>=60;0;0;8
2003;sul;juncao retossigmoide;metastaticos;IV;<60;0;3;6
2003;sul;juncao retossigmoide;metastaticos;IV;>=60;5;7;10
2003;sul;reto;nao metastaticos;I;<60;0;1;5
2003;sul;reto;nao metastaticos;I;>=60;1;4;14
2003;sul;reto;nao metastaticos;II;<60;1;5;34
2003;sul;reto;nao metastaticos;II;>=60;4;8;29
2003;sul;reto;nao metastaticos;III;<60;1;14;57
2003;sul;reto;nao metastaticos;III;>=60;1;5;33
2003;sul;reto;metastaticos;IV;<60;4;9;19
2003;sul;reto;metastaticos;IV;>=60;8;12;36
2004;centroeste;colon;nao metastaticos;I;<60;0;0;1
2004;centroeste;colon;nao metastaticos;I;>=60;1;1;1
2004;centroeste;colon;nao metastaticos;II;<60;0;2;5
2004;centroeste;colon;nao metastaticos;II;>=60;1;1;4
2004;centroeste;colon;nao metastaticos;III;<60;0;1;2
2004;centroeste;colon;metastaticos;IV;<60;0;1;3
2004;centroeste;colon;metastaticos;IV;>=60;0;1;1
2004;centroeste;juncao retossigmoide;nao metastaticos;III;<60;0;0;2
2004;centroeste;juncao retossigmoide;metastaticos;IV;<60;1;1;2
2004;centroeste;juncao retossigmoide;metastaticos;IV;>=60;0;0;1
2004;centroeste;reto;nao metastaticos;II;<60;0;2;5
2004;centroeste;reto;nao metastaticos;II;>=60;0;0;3
2004;centroeste;reto;nao metastaticos;III;<60;0;2;4
2004;centroeste;reto;nao metastaticos;III;>=60;2;2;7
2004;centroeste;reto;metastaticos;IV;<60;1;1;4
2004;centroeste;reto;metastaticos;IV;>=60;1;3;9
2004;nordeste;colon;nao metastaticos;I;<60;0;0;1
2004;nordeste;colon;nao metastaticos;I;>=60;0;1;2
2004;nordeste;colon;nao metastaticos;II;<60;0;2;16
2004;nordeste;colon;nao metastaticos;II;>=60;0;0;16
2004;nordeste;colon;nao metastaticos;III;<60;3;5;19
2004;nordeste;colon;nao metastaticos;III;>=60;2;6;14
2004;nordeste;colon;metastaticos;IV;<60;1;3;11
2004;nordeste;colon;metastaticos;IV;>=60;2;3;10
2004;nordeste;juncao retossigmoide;nao metastaticos;II;<60;2;3;9
2004;nordeste;juncao retossigmoide;nao metastaticos;II;>=60;0;0;1
2004;nordeste;juncao retossigmoide;nao metastaticos;III;<60;0;1;8
2004;nordeste;juncao retossigmoide;nao metastaticos;III;>=60;0;1;2
2004;nordeste;juncao retossigmoide;metastaticos;IV;<60;1;2;5
2004;nordeste;juncao retossigmoide;metastaticos;IV;>=60;0;1;4
2004;nordeste;reto;nao metastaticos;I;<60;0;0;10
2004;nordeste;reto;nao metastaticos;I;>=60;1;2;12
2004;nordeste;reto;nao metastaticos;II;<60;4;6;57
2004;nordeste;reto;nao metastaticos;II;>=60;6;12;52
2004;nordeste;reto;nao metastaticos;III;<60;2;8;27
2004;nordeste;reto;nao metastaticos;III;>=60;1;3;14
2004;nordeste;reto;metastaticos;IV;<60;0;0;8
2004;nordeste;reto;metastaticos;IV;>=60;3;8;13
2004;norte;colon;nao metastaticos;I;<60;0;0;1
2004;norte;colon;nao metastaticos;I;>=60;0;0;1
2004;norte;colon;nao metastaticos;II;<60;0;2;11
2004;norte;colon;nao metastaticos;II;>=60;0;0;8
2004;norte;colon;nao metastaticos;III;<60;1;3;7
2004;norte;colon;nao metastaticos;III;>=60;1;2;4
2004;norte;colon;metastaticos;IV;<60;1;2;4
2004;norte;colon;metastaticos;IV;>=60;1;2;3
2004;norte;juncao retossigmoide;nao metastaticos;I;<60;0;1;1
2004;norte;juncao retossigmoide;nao metastaticos;II;<60;0;1;1
2004;norte;juncao retossigmoide;nao metastaticos;III;<60;0;0;2
2004;norte;juncao retossigmoide;metastaticos;IV;>=60;0;1;1
2004;norte;reto;nao metastaticos;I;>=60;0;0;2
2004;norte;reto;nao metastaticos;II;<60;0;1;5
2004;norte;reto;nao metastaticos;II;>=60;0;1;5
2004;norte;reto;nao metastaticos;III;<60;1;2;8
2004;norte;reto;nao metastaticos;III;>=60;1;2;5
2004;norte;reto;metastaticos;IV;<60;1;1;3
2004;sudeste;colon;nao metastaticos;I;<60;1;9;56
2004;sudeste;colon;nao metastaticos;I;>=60;14;38;77
2004;sudeste;colon;nao metastaticos;II;<60;12;54;175
2004;sudeste;colon;nao metastaticos;II;>=60;43;121;238
2004;sudeste;colon;nao metastaticos;III;<60;23;101;193
2004;sudeste;colon;nao metastaticos;III;>=60;45;144;221
2004;sudeste;colon;metastaticos;IV;<60;73;129;158
2004;sudeste;colon;metastaticos;IV;>=60;123;187;216
2004;sudeste;juncao retossigmoide;nao metastaticos;I;<60;0;2;9
2004;sudeste;juncao retossigmoide;nao metastaticos;I;>=60;2;8;20
2004;sudeste;juncao retossigmoide;nao metastaticos;II;<60;3;11;23
2004;sudeste;juncao retossigmoide;nao metastaticos;II;>=60;8;24;40
2004;sudeste;juncao retossigmoide;nao metastaticos;III;<60;7;17;35
2004;sudeste;juncao retossigmoide;nao metastaticos;III;>=60;3;17;40
2004;sudeste;juncao retossigmoide;metastaticos;IV;<60;5;14;16
